lonr,latr,Igrid,age,AGB,BGB,GPP,NPP
137,-15,317.0-075.0,50,,,,
137,-13,317.0-077.0,12,,,,
137,-13,317.0-077.0,50,,,,
137,-11,317.0-079.0,12,,,,
137,-11,317.0-079.0,50,,,,
137,-9,317.0-081.0,12,,,,
137,-9,317.0-081.0,50,,,,
137,-7,317.0-083.0,12,,,,
137,-7,317.0-083.0,50,,,,
137,-5,317.0-085.0,12,,,,
137,-5,317.0-085.0,50,,,,
137,-3,317.0-087.0,12,,,,
137,-3,317.0-087.0,50,,,,
137,-1,317.0-089.0,12,,,,
137,-1,317.0-089.0,50,,,,
139,-35,319.0-055.0,12,,,,
139,-35,319.0-055.0,50,,,,
139,-33,319.0-057.0,12,,,,
139,-33,319.0-057.0,50,,,,
139,-17,319.0-073.0,12,,,,
139,-17,319.0-073.0,50,,,,
139,-9,319.0-081.0,12,,,,
139,-9,319.0-081.0,50,,,,
139,-7,319.0-083.0,12,,,,
139,-7,319.0-083.0,50,,,,
139,-5,319.0-085.0,12,,,,
139,-5,319.0-085.0,50,,,,
139,-3,319.0-087.0,12,,,,
139,-3,319.0-087.0,50,,,,
139,-1,319.0-089.0,12,,,,
139,-1,319.0-089.0,50,,,,
139,9,319.0-099.0,12,,,,
139,9,319.0-099.0,50,,,,
141,-17,321.0-073.0,12,,,,
141,-17,321.0-073.0,50,,,,
141,-15,321.0-075.0,12,,,,
141,-15,321.0-075.0,50,,,,
141,-13,321.0-077.0,12,,,,
141,-13,321.0-077.0,50,,,,
141,-11,321.0-079.0,12,,,,
141,-11,321.0-079.0,50,,,,
141,-9,321.0-081.0,12,,,,
141,-9,321.0-081.0,50,,,,
141,-7,321.0-083.0,12,,,,
141,-7,321.0-083.0,50,,,,
141,-3,321.0-087.0,12,,,,
141,-3,321.0-087.0,50,,,,
143,-15,323.0-075.0,12,,,,
143,-15,323.0-075.0,50,,,,
143,-13,323.0-077.0,12,,,,
143,-13,323.0-077.0,50,,,,
143,-11,323.0-079.0,12,,,,
143,-11,323.0-079.0,50,,,,
143,-9,323.0-081.0,12,,,,
143,-9,323.0-081.0,50,,,,
143,-7,323.0-083.0,12,,,,
143,-7,323.0-083.0,50,,,,
143,-3,323.0-087.0,12,,,,
143,-3,323.0-087.0,50,,,,
145,-39,325.0-051.0,12,,,,
145,-39,325.0-051.0,50,,,,
145,-19,325.0-071.0,12,,,,
145,-19,325.0-071.0,50,,,,
145,-17,325.0-073.0,12,,,,
145,-17,325.0-073.0,50,,,,
145,-15,325.0-075.0,12,,,,
145,-15,325.0-075.0,50,,,,
145,-9,325.0-081.0,12,,,,
145,-9,325.0-081.0,50,,,,
145,-7,325.0-083.0,12,,,,
145,-7,325.0-083.0,50,,,,
145,-5,325.0-085.0,12,,,,
145,-5,325.0-085.0,50,,,,
145,-3,325.0-087.0,12,,,,
145,-3,325.0-087.0,50,,,,
145,13,325.0-103.0,12,,,,
145,13,325.0-103.0,50,,,,
147,-39,327.0-051.0,12,,,,
147,-39,327.0-051.0,50,,,,
147,-19,327.0-071.0,12,,,,
147,-19,327.0-071.0,50,,,,
147,-17,327.0-073.0,12,,,,
147,-17,327.0-073.0,50,,,,
147,-11,327.0-079.0,12,,,,
147,-11,327.0-079.0,50,,,,
147,-9,327.0-081.0,12,,,,
147,-9,327.0-081.0,50,,,,
147,-7,327.0-083.0,12,,,,
147,-7,327.0-083.0,50,,,,
147,-5,327.0-085.0,12,,,,
147,-5,327.0-085.0,50,,,,
147,-3,327.0-087.0,12,,,,
147,-3,327.0-087.0,50,,,,
147,-1,327.0-089.0,12,,,,
147,-1,327.0-089.0,50,,,,
149,-37,329.0-053.0,12,,,,
149,-37,329.0-053.0,50,,,,
149,-23,329.0-067.0,12,,,,
149,-23,329.0-067.0,50,,,,
149,-21,329.0-069.0,12,,,,
149,-21,329.0-069.0,50,,,,
149,-19,329.0-071.0,12,,,,
149,-19,329.0-071.0,50,,,,
149,-11,329.0-079.0,12,,,,
149,-11,329.0-079.0,50,,,,
149,-9,329.0-081.0,12,,,,
149,-9,329.0-081.0,50,,,,
149,-7,329.0-083.0,12,,,,
149,-7,329.0-083.0,50,,,,
149,-5,329.0-085.0,12,,,,
149,-5,329.0-085.0,50,,,,
149,-1,329.0-089.0,12,,,,
149,-1,329.0-089.0,50,,,,
151,-37,331.0-053.0,12,,,,
151,-37,331.0-053.0,50,,,,
151,-35,331.0-055.0,12,,,,
151,-35,331.0-055.0,50,,,,
151,-33,331.0-057.0,12,,,,
151,-33,331.0-057.0,50,,,,
151,-25,331.0-065.0,12,,,,
151,-25,331.0-065.0,50,,,,
151,-23,331.0-067.0,12,,,,
151,-23,331.0-067.0,50,,,,
151,-11,331.0-079.0,12,,,,
151,-11,331.0-079.0,50,,,,
151,-9,331.0-081.0,12,,,,
151,-9,331.0-081.0,50,,,,
151,-7,331.0-083.0,12,,,,
151,-7,331.0-083.0,50,,,,
151,-5,331.0-085.0,12,,,,
151,-5,331.0-085.0,50,,,,
151,-3,331.0-087.0,12,,,,
151,-3,331.0-087.0,50,,,,
151,7,331.0-097.0,12,,,,
151,7,331.0-097.0,50,,,,
153,-33,333.0-057.0,12,,,,
153,-33,333.0-057.0,50,,,,
153,-31,333.0-059.0,12,,,,
153,-31,333.0-059.0,50,,,,
153,-29,333.0-061.0,12,,,,
153,-29,333.0-061.0,50,,,,
153,-27,333.0-063.0,12,,,,
153,-27,333.0-063.0,50,,,,
153,-25,333.0-065.0,12,,,,
153,-25,333.0-065.0,50,,,,
153,-11,333.0-079.0,12,,,,
153,-11,333.0-079.0,50,,,,
153,-9,333.0-081.0,12,,,,
153,-9,333.0-081.0,50,,,,
153,-5,333.0-085.0,12,,,,
153,-5,333.0-085.0,50,,,,
153,-3,333.0-087.0,12,,,,
153,-3,333.0-087.0,50,,,,
155,-11,335.0-079.0,12,,,,
155,-11,335.0-079.0,50,,,,
155,-7,335.0-083.0,12,,,,
155,-7,335.0-083.0,50,,,,
155,-5,335.0-085.0,12,,,,
155,-5,335.0-085.0,50,,,,
157,-9,337.0-081.0,12,,,,
157,-9,337.0-081.0,50,,,,
157,-7,337.0-083.0,12,,,,
157,-7,337.0-083.0,50,,,,
159,-9,339.0-081.0,12,,,,
159,-9,339.0-081.0,50,,,,
159,-7,339.0-083.0,12,,,,
159,-7,339.0-083.0,50,,,,
159,7,339.0-097.0,12,,,,
159,7,339.0-097.0,50,,,,
161,-11,341.0-079.0,12,,,,
161,-11,341.0-079.0,50,,,,
161,-9,341.0-081.0,12,,,,
161,-9,341.0-081.0,50,,,,
163,-21,343.0-069.0,12,,,,
163,-21,343.0-069.0,50,,,,
163,-19,343.0-071.0,12,,,,
163,-19,343.0-071.0,50,,,,
163,-11,343.0-079.0,12,,,,
163,-11,343.0-079.0,50,,,,
163,5,343.0-095.0,12,,,,
163,5,343.0-095.0,50,,,,
165,-21,345.0-069.0,12,,,,
165,-21,345.0-069.0,50,,,,
165,-11,345.0-079.0,12,,,,
165,-11,345.0-079.0,50,,,,
167,-23,347.0-067.0,12,,,,
167,-23,347.0-067.0,50,,,,
167,-21,347.0-069.0,12,,,,
167,-21,347.0-069.0,50,,,,
167,-17,347.0-073.0,12,,,,
167,-17,347.0-073.0,50,,,,
167,-11,347.0-079.0,12,,,,
167,-11,347.0-079.0,50,,,,
169,-17,349.0-073.0,12,,,,
169,-17,349.0-073.0,50,,,,
169,5,349.0-095.0,12,,,,
169,5,349.0-095.0,50,,,,
173,-35,353.0-055.0,12,,,,
173,-35,353.0-055.0,50,,,,
173,1,353.0-091.0,12,,,,
173,1,353.0-091.0,50,,,,
173,3,353.0-093.0,12,,,,
173,3,353.0-093.0,50,,,,
173,7,353.0-097.0,12,,,,
173,7,353.0-097.0,50,,,,
175,-37,355.0-053.0,12,,,,
175,-37,355.0-053.0,50,,,,
175,-35,355.0-055.0,12,,,,
175,-35,355.0-055.0,50,,,,
177,-39,357.0-051.0,12,,,,
177,-39,357.0-051.0,50,,,,
177,-37,357.0-053.0,12,,,,
177,-37,357.0-053.0,50,,,,
177,-19,357.0-071.0,12,,,,
177,-19,357.0-071.0,50,,,,
177,-17,357.0-073.0,12,,,,
177,-17,357.0-073.0,50,,,,
179,-19,359.0-071.0,12,,,,
179,-19,359.0-071.0,50,,,,
179,-17,359.0-073.0,12,,,,
179,-17,359.0-073.0,50,,,,
179,-9,359.0-081.0,12,,,,
179,-9,359.0-081.0,50,,,,
179,-7,359.0-083.0,12,,,,
179,-7,359.0-083.0,50,,,,
