Iite,Isim,Iloss,Ipara,Irun,p2,p3,p4,p5,Igrid
16,10,0.31362206,62.0473305  0.0065483  0.3513702 52.4741364,370,62.0473305,0.0065483,0.3513702,52.4741364,089.0-089.0
12,7,0.32431773,69.853557   0.0934108  0.115509  24.460948 ,271,69.853557,0.0934108,0.115509,24.460948,089.0-103.0
15,26,0.06252596,39.7450279  0.1210931  0.1167481 50.6853904,362,39.7450279,0.1210931,0.1167481,50.6853904,089.0-105.0
10,31,0.4698832,64.1751623  0.0658175  0.399339  96.6507665,247,64.1751623,0.0658175,0.399339,96.6507665,089.0-109.0
7,7,0.79391862,61.5607559  0.0079075  0.3971065 59.9205118,151,61.5607559,0.0079075,0.3971065,59.9205118,089.0-111.0
15,22,0.4640743,47.4829826  0.2151546  0.3166618 94.6563296,358,47.4829826,0.2151546,0.3166618,94.6563296,089.0-119.0
15,7,0.051848959,37.2953252  0.0021713  0.3946396 14.0516068,343,37.2953252,0.0021713,0.3946396,14.0516068,091.0-089.0
14,26,0.35971084,67.8145306  0.1381221  0.3787728 16.7398788,338,67.8145306,0.1381221,0.3787728,16.7398788,091.0-103.0
14,9,0.28133448,59.6168372  0.07104    0.3688115 33.7250045,321,59.6168372,0.07104,0.3688115,33.7250045,091.0-105.0
14,13,1.4375747,61.5545635  0.090625   0.39375   91.6763039,325,61.5545635,0.090625,0.39375,91.6763039,091.0-107.0
13,14,0.25087836,50.7291667  0.171875   0.159375  26.1695056,302,50.7291667,0.171875,0.159375,26.1695056,091.0-109.0
10,27,1.127387,58.3689423  0.0004977  0.3149949 64.9331872,243,58.3689423,0.0004977,0.3149949,64.9331872,091.0-111.0
10,18,0.43311327,35.1041667  0.11875    0.134375  55.4269579,234,35.1041667,0.11875,0.134375,55.4269579,091.0-119.0
6,11,0.07628372,69.0519287  0.0823978  0.3394326  5.314099 ,131,69.0519287,0.0823978,0.3394326,5.314099,093.0-101.0
8,26,0.71007027,67.7399541  0.16875    0.228125  64.4590103,194,67.7399541,0.16875,0.228125,64.4590103,093.0-103.0
15,11,1.3146222,69.8443787  0.0556178  0.3736736 99.9890593,347,69.8443787,0.0556178,0.3736736,99.9890593,093.0-105.0
14,15,0.76292146,48.9668248  0.0401889  0.1054218 66.1381042,327,48.9668248,0.0401889,0.1054218,66.1381042,093.0-109.0
14,18,0.32273367,65.2106503  0.0445413  0.376953   9.1693002,330,65.2106503,0.0445413,0.376953,9.1693002,093.0-111.0
8,5,0.19109205,68.0479323  0.1714782  0.190625  16.9825013,173,68.0479323,0.1714782,0.190625,16.9825013,095.0-099.0
14,0,0.22316688,69.7109533  0.2850746  0.3949986 98.8917826,312,69.7109533,0.2850746,0.3949986,98.8917826,095.0-101.0
11,28,0.53074853,60.8266429  0.078125   0.1005366 99.8206081,268,60.8266429,0.078125,0.1005366,99.8206081,095.0-105.0
8,28,0.73464714,54.1296227  0.0375     0.35625    6.3119911,196,54.1296227,0.0375,0.35625,6.3119911,095.0-107.0
5,13,0.67360566,54.1296257  0.0494442  0.1442024 40.7816152,109,54.1296257,0.0494442,0.1442024,40.7816152,095.0-111.0
14,3,0.50678654,60.38707    0.06875    0.3153809 71.2942582,315,60.38707,0.06875,0.3153809,71.2942582,095.0-113.0
6,15,0.43700332,63.9842908  0.2357341  0.2797098 23.4389868,135,63.9842908,0.2357341,0.2797098,23.4389868,097.0-099.0
12,29,0.33928932,64.4900261  0.1050874  0.2499894 75.6970708,293,64.4900261,0.1050874,0.2499894,75.6970708,097.0-101.0
7,9,0.53596937,34.0625     0.01875    0.3349104 69.9570532,153,34.0625,0.01875,0.3349104,69.9570532,097.0-103.0
15,6,0.5087803,55.0240176  0.06875    0.1438571 51.4455517,342,55.0240176,0.06875,0.1438571,51.4455517,097.0-105.0
10,25,0.37688844,56.3373728  0.0559155  0.1707717 22.6476419,241,56.3373728,0.0559155,0.1707717,22.6476419,097.0-111.0
11,23,0.32627373,57.5        0.06875    0.2387128 91.2826197,263,57.5,0.06875,0.2387128,91.2826197,097.0-113.0
5,20,0.3735535,69.7129594  0.075      0.2894937 35.6626864,116,69.7129594,0.075,0.2894937,35.6626864,097.0-117.0
11,7,0.086535889,57.0538522  0.065625   0.1228195 71.4708444,247,57.0538522,0.065625,0.1228195,71.4708444,097.0-119.0
8,19,0.90099306,69.2532413  0.0007759  0.3981277 99.8617172,187,69.2532413,0.0007759,0.3981277,99.8617172,099.0-085.0
15,7,1.7219943,64.7163073  0.00625    0.1694685 99.8639275,343,64.7163073,0.00625,0.1694685,99.8639275,099.0-087.0
9,19,0.34738836,68.7792259  0.0009443  0.3875253 31.3450653,211,68.7792259,0.0009443,0.3875253,31.3450653,099.0-089.0
5,19,0.32564775,41.4558056  0.0875     0.3611819 18.6526532,115,41.4558056,0.0875,0.3611819,18.6526532,099.0-091.0
5,27,0.65065817,44.4791667  0.20625    0.3836865 93.0727564,123,44.4791667,0.20625,0.3836865,93.0727564,099.0-097.0
8,10,0.55032119,69.9781273  0.0941994  0.3977935 99.8795438,178,69.9781273,0.0941994,0.3977935,99.8795438,099.0-099.0
14,14,0.6736868,65.6177727  0.065625   0.1092243 24.7916667,326,65.6177727,0.065625,0.1092243,24.7916667,099.0-103.0
9,23,0.78707724,64.5719149  0.0534894  0.3095744 91.970787 ,215,64.5719149,0.0534894,0.3095744,91.970787,099.0-109.0
14,18,0.073962527,63.2291667  0.065625   0.16875   44.5833333,330,63.2291667,0.065625,0.16875,44.5833333,099.0-111.0
15,3,0.31492808,62.7083333  0.084375   0.3569483 59.1134641,339,62.7083333,0.084375,0.3569483,59.1134641,099.0-113.0
6,19,0.73609127,59.7094847  0.0489853  0.2357733 31.0088019,139,59.7094847,0.0489853,0.2357733,31.0088019,099.0-115.0
16,16,0.66520615,62.1594335  0.0560058  0.1041501 86.5278573,376,62.1594335,0.0560058,0.1041501,86.5278573,099.0-117.0
6,30,0.32722028,48.4606021  0.0072837  0.3893935  8.5720463,150,48.4606021,0.0072837,0.3893935,8.5720463,099.0-119.0
11,31,0.10873992,70.        0.20625   0.1625  100.     ,271,70,0.20625,0.1625,100,101.0-087.0
12,23,0.80598476,35.304944   0.1001279  0.3873715 11.8595328,287,35.304944,0.1001279,0.3873715,11.8595328,101.0-091.0
6,18,0.064855626,32.8368453  0.10625    0.3723469 25.8814485,138,32.8368453,0.10625,0.3723469,25.8814485,101.0-093.0
13,8,0.29837215,64.3590336  0.2947623  0.3555291 89.3929392,296,64.3590336,0.2947623,0.3555291,89.3929392,101.0-097.0
10,28,0.43802853,66.9400096  0.28125    0.396875  99.9721191,244,66.9400096,0.28125,0.396875,99.9721191,101.0-099.0
10,23,0.53449563,68.2435673  0.078125   0.3890114 78.6912704,239,68.2435673,0.078125,0.3890114,78.6912704,101.0-109.0
15,14,0.48842144,31.6965998  0.0046411  0.2136738 51.0518982,350,31.6965998,0.0046411,0.2136738,51.0518982,101.0-111.0
5,14,0.37492416,59.1993842  0.065625   0.3933371 74.0237281,110,59.1993842,0.065625,0.3933371,74.0237281,101.0-113.0
11,22,0.068136323,38.8696238  0.01875    0.3943313  8.330659 ,262,38.8696238,0.01875,0.3943313,8.330659,101.0-115.0
17,18,0.10523084,30.6713604  0.003125   0.328125  76.8471077,402,30.6713604,0.003125,0.328125,76.8471077,101.0-117.0
13,26,4.5021063,36.8592253  0.0018886  0.1000891 97.7025051,314,36.8592253,0.0018886,0.1000891,97.7025051,103.0-093.0
