lon,lat,lonr,latr,age,AGB,BGB,GPP,NPP,gf_flag,Igrid
110.566666666667,19.9333333333333,111,19,6,15.816,,,,,291.0-109.0
110.566666666667,19.9333333333333,111,19,11,22.714,,,,,291.0-109.0
110.566666666667,19.9333333333333,111,19,6,18.676,,,,,291.0-109.0
110.566666666667,19.9333333333333,111,19,11,1.336,,,,,291.0-109.0
110.566666666667,19.9333333333333,111,19,11,29.405,,,,,291.0-109.0
110.616666666667,19.8833333333333,111,19,50,248.495,171.804,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,449.623,116.267,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,352.652,92.801,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,386.035,121.302,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,157.012,47.679,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,154.142,109.741,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,294.363,84.894,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,168.45,65.472,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,318.998,91.827,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,252.742,63.026,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,52.9546875,18.6328125,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,49.634375,20.00625,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,152.46875,61.1296875,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,313.286,80.568,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,194.442,90.164,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,932.826,255.053,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,511.913,149.204,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,887.433,216.04,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,568.999,144.086,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,806.8,265.208,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,794.454,220.977,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,584.357,166.205,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,297.229,87.8,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,897.879,220.476,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,356.783,79.666,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,584.263,153.607,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,228.423,49.645,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,207.125,38.145,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,290.766,102.41,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,432.407,108.296,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,612.602,218.238,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,56.783,29.215,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,307.886,109.93,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,36.21,12.566,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,213.46,70.967,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,45.419,13.769,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,254.737,88.543,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,406.039,88.392,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,252.063,82.104,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,245.729,77.326,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,434.389,131.148,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,376.655,118.657,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,249.513,89.654,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,394.458,151.685,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,174.182,65.646,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,258.014,184.68,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,248.794,84.876,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,472.761,139.583,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,288.83,90.442,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,327.111,124.172,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,468.108,143.483,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,322.652,93.425,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,359.955,108.681,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,453.053,148.797,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,432.952,139.267,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,526.643,156.99,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,355.158,104.042,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,415.011,143.522,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,255.542,84.529,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,309.831,126.564,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,156.081,79.473,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,219.757,80.613,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,188.111,136.983,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,169.508,82.455,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,197.778,112.776,,,,291.0-109.0
110.805916666667,19.6103898148148,111,19,50,154.638729298172,98.6395514560654,,,,291.0-109.0
